symbol,name,sector
RELIANCE,Reliance Industries,DEFAULT
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,BANK
BHARTIARTL,Bharti Airtel,DEFAULT
ICICIBANK,ICICI Bank,BANK
INFY,Infosys,IT
SBIN,State Bank of India,PSUBANK
LICI,LIC,DEFAULT
ITC,ITC,FMCG
HINDUNILVR,Hindustan Unilever,FMCG
LT,Larsen & Toubro,DEFAULT
BAJFINANCE,Bajaj Finance,DEFAULT
HCLTECH,HCL Technologies,IT
MARUTI,Maruti Suzuki,AUTO
SUNPHARMA,Sun Pharma,PHARMA
KOTAKBANK,Kotak Mahindra Bank,BANK
AXISBANK,Axis Bank,BANK
NTPC,NTPC,DEFAULT
ONGC,ONGC,DEFAULT
TITAN,Titan,DEFAULT
ULTRACEMCO,UltraTech Cement,DEFAULT
POWERGRID,Power Grid,DEFAULT
ADANIENT,Adani Enterprises,DEFAULT
ADANIPORTS,Adani Ports,DEFAULT
M&M,Mahindra & Mahindra,AUTO
WIPRO,Wipro,IT
COALINDIA,Coal India,METAL
BAJAJFINSV,Bajaj Finserv,DEFAULT
NESTLEIND,Nestle India,FMCG
TATAMOTORS,Tata Motors,AUTO
JSWSTEEL,JSW Steel,METAL
TATASTEEL,Tata Steel,METAL
ASIANPAINT,Asian Paints,DEFAULT
GRASIM,Grasim,DEFAULT
HINDALCO,Hindalco,METAL
TECHM,Tech Mahindra,IT
CIPLA,Cipla,PHARMA
SBILIFE,SBI Life,DEFAULT
DRREDDY,Dr Reddy's,PHARMA
EICHERMOT,Eicher Motors,AUTO
APOLLOHOSP,Apollo Hospitals,PHARMA
HEROMOTOCO,Hero MotoCorp,AUTO
DIVISLAB,Divi's Labs,PHARMA
BAJAJ-AUTO,Bajaj Auto,AUTO
INDUSINDBK,IndusInd Bank,BANK
TATACONSUM,Tata Consumer,FMCG
BRITANNIA,Britannia,FMCG
SHRIRAMFIN,Shriram Finance,DEFAULT
BPCL,BPCL,DEFAULT
HDFCLIFE,HDFC Life,DEFAULT
ADANIGREEN,Adani Green,DEFAULT
ADANIPOWER,Adani Power,DEFAULT
JIOFIN,Jio Financial,DEFAULT
TRENT,Trent,FMCG
BEL,Bharat Electronics,DEFAULT
HAL,Hindustan Aeronautics,DEFAULT
VBL,Varun Beverages,FMCG
ZOMATO,Zomato,DEFAULT
IRFC,IRFC,DEFAULT
PFC,PFC,PSUBANK
RECLTD,REC,PSUBANK
BANKBARODA,Bank of Baroda,PSUBANK
PNB,Punjab National Bank,PSUBANK
CANBK,Canara Bank,PSUBANK
UNIONBANK,Union Bank,PSUBANK
LODHA,Macrotech,DEFAULT
DLF,DLF,DEFAULT
GODREJCP,Godrej Consumer,FMCG
DABUR,Dabur,FMCG
MARICO,Marico,FMCG
COLPAL,Colgate,FMCG
PIDILITIND,Pidilite,DEFAULT
HAVELLS,Havells,DEFAULT
VOLTAS,Voltas,DEFAULT
SIEMENS,Siemens,DEFAULT
ABB,ABB India,DEFAULT
CGPOWER,CG Power,DEFAULT
POLYCAB,Polycab,DEFAULT
DIXON,Dixon,DEFAULT
PERSISTENT,Persistent,IT
COFORGE,Coforge,IT
LTIM,LTIMindtree,IT
MPHASIS,Mphasis,IT
LUPIN,Lupin,PHARMA
AUROPHARMA,Aurobindo,PHARMA
TORNTPHARM,Torrent Pharma,PHARMA
ALKEM,Alkem,PHARMA
BIOCON,Biocon,PHARMA
TVSMOTOR,TVS Motor,AUTO
ASHOKLEY,Ashok Leyland,AUTO
BHARATFORG,Bharat Forge,AUTO
MOTHERSON,Motherson,AUTO
BOSCHLTD,Bosch,AUTO
MRF,MRF,AUTO
VEDL,Vedanta,METAL
NMDC,NMDC,METAL
SAIL,SAIL,METAL
JINDALSTEL,Jindal Steel,METAL
FEDERALBNK,Federal Bank,BANK
IDFCFIRSTB,IDFC First Bank,BANK
